2021-11-01 15:54:18.947 [restartedMain] INFO  com.sjq.hospital.ManageApplication - Starting ManageApplication on LAPTOP-4COONQEM with PID 10320 (D:\IDEA\ideaproject\yygh-parent\hospital-manage\target\classes started by Kemp in D:\IDEA\ideaproject\yygh-parent)
2021-11-01 15:54:18.951 [restartedMain] INFO  com.sjq.hospital.ManageApplication - The following profiles are active: dev
2021-11-01 15:54:19.006 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-11-01 15:54:19.007 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-11-01 15:54:19.809 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-01 15:54:20.038 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9998 (http)
2021-11-01 15:54:20.044 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9998"]
2021-11-01 15:54:20.045 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-11-01 15:54:20.045 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-11-01 15:54:20.115 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-11-01 15:54:20.115 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1108 ms
2021-11-01 15:54:20.259 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - GuliHikariPool - Starting...
